Site,Latitude,Longitude,Status,Notes
Churchill,58.6658,-93.83,Running,"Running, no current issues. Maintenence Trip planned end of June."
Scotty Creek,61.3079,-121.299,Supported,"Data collected March through September. Mason Dominico from Bill's group collected data in the fall. Oliver's group processing."
YK Delta Burned,61.2723,-163.223,Running,"Tower running, minimal issues. Jackie working on comparison paper."
YK Delta Unburned,61.2548,-163.259,Running,"Power system down, Marco in field currently trouble shooting. Jackie working on comparison paper."
Council,64.86139,-163.701,In Progress,"Planning August field work to set up."
Resolute,74.742372,-94.975615,In Progress,"Mid-July Install Planned"
Pond Inlet,72.69275,-77.9576,In Progress,"Late July Install Planned."
Chersky Control,68.61689,161.3509,Supported,"Solution for gas analyzers found."
Chersky Drained,68.61305,161.3509,Supported,"Solution for gas analyzers found."
Kangiqsualujjuaq,58.73553,-65.9736,In Progress,"2024 install planned. We provided biomet and power system, Li-COR equipment showed up late."
Boreal-Quebec,53.98333,-71.975,In Progress,"In Cree Permitting pipeline. Have contact of contruction companies. Hopeful September 24 install but that's optimistic."
Lutose,59.440494,-117.242175,Supported,"David Olefeldt Site, Supplied met equipment for continued measurements, Olivers tech we fund processes data."
Steen River,59.59507739,-117.2862377,Supported,"David Olefeldt Site, Supplied met equipment for continued measurements, Olivers tech we fund processes data."
Scotty Creek Bog,61.3089,-121.2984,Supported,"Oliver smaller tower, we supplied new power system for year round measurements."
Iqaluit,63.75045938,-68.50019175,Supported,"We supplied funding for new equipment including upgraded power, new CH4, and upgraded met. We process data."
Smith Creek,63.1534,-123.25223,Supported,"I've always been told we supported this but I'm not 100% sure how."
Cambridge Bay Mesic,69.222128,-104.898586,Supported,"Alex Roy site, Olivers tech processes."
Cambridge Bay Wetland,69.2346,-104.903269,Supported,"Alex Roy Site, Olivers tech processes."
Daring Lake DL1,64.8648266,-111.5677015,Supported,"Elyn Humphreys site, processing data. (1 of 4)"
Daring Lake DL2,64.8648,-111.5677,Supported,"Elyn Humphreys site, processing data. (1 of 4)"
Daring Lake DL3,64.8722296,-111.5485877,Supported,"Elyn Humphreys site, processing data. (1 of 4)"
Daring Lake DL4,64.863066,-111.65,Supported,"Elyn Humphreys site, processing data. (1 of 4)"
